book_title,Description,aurthor,rating
Losing Hope,"In the follow-up to Colleen Hoover’s #1 New York Times bestseller Hopeless, the charming and irresistible Dean Holder tells the passionate story that has melted thousands of hearts.

In Hopeless, Sky left no secret unearthed, no feeling unshared, and no memory forgotten, but Holder’s past remained a mystery.

Still haunted by the little girl he let walk away, Holder has spent his entire life searching for her in an attempt to finally rid himself of the crushing guilt he has felt for years. But he could not have anticipated that the moment they reconnect, even greater remorse would overwhelm him…

Sometimes in life, if we wish to move forward, we must first dig deep into our past and make amends. In Losing Hope, bestselling author Colleen Hoover reveals what was going on inside Holder’s head during all those hopeless moments—and whether he can gain the peace he desperately needs.",Colleen Hoover,4.17
Heat Wave,"A New York real estate tycoon plunged to his death on a Manhattan sidewalk. A trophy wife with a past survives a narrow escape from a brazen attack. Mobsters and moguls with no shortage of reasons to kill trot out their alibis. And then, in the suffocating grip of a record heat wave, comes another shocking murder and a sharp turn in a tense journey into the dirty little secrets of the wealthy. Secrets that prove to be fatal. Secrets that lay hidden in the dark until one NYPB detective shines a light.
Mystery sensation Richard Castle, blockbuster author of the wildly bestselling Derrick Storm novels, introduces his newest character, NYPD Homicide Detective Nikki Heat. Tough, sexy, professional, Nikki Heat carries a passion for justice as she leads one of New York City’s top homicide squads. She’s hit with an unexpected challenge when the commissioner assigns superstar journalist Jameson Rook to ride along with her to research an article on New York’s finest. Pulitzer- Prize-winning Rook is as much a handful as he is handsome. His wisecracking and meddling aren’t her only problems. as she works to unravel the secrets of the murdered real estate tycoon, she must also confront the spark between them. The one called Heat.",Richard Castle,3.57
Homeland,"Discover the origin story of one of the greatest heroes of the Realms—Drizzt Do’Urden—in this thrilling first installment of the Dark Elf Trilogy

Drow ranger Drizzt Do’Urden, first introduced in The Icewind Dale Trilogy, quickly became one of the fantasy genre’s standout characters. With Homeland, Salvatore pulls back the curtain to reveal the startling tale of how this hero came to be—how this one lone drow walked out of the shadowy depths of the Underdark; how he left behind an evil society and a family that wanted him dead.

As the third son of Mother Malice and weaponmaster Zaknafein, Drizzt Do’Urden is meant to be sacrificed to Lolth, the evil Spider Queen, per drow tradition. But with the unexpected death of his older brother, young Drizzt is spared—and, as a result, further ostracized by his family. As Drizzt grows older, developing his swordsmanship skills and studying at the Academy, he begins to realize that his idea of good and evil does not match up with those of his fellow drow. Can Drizzt stay true to himself in a such an unforgiving, unprincipled world?

Homeland is the first book in the Dark Elf Trilogy and the Legend of Drizzt series.",R.A. Salvatore,4.26
Lisey's Story,"Lisey Debusher Landon lost her husband, Scott, two years ago, after a twenty-five year marriage of the most profound and sometimes frightening intimacy. Scott was an award-winning, bestselling novelist and a very complicated man. Early in their relationship, before they married, Lisey had to learn from him about books and blood and bools. Later, she understood that there was a place Scott went--a place that both terrified and healed him, that could eat him alive or give him the ideas he needed in order to live. Now it's Lisey's turn to face Scott's demons, Lisey's turn to go to Boo'ya Moon. What begins as a widow's efforts to sort through the papers of her celebrated husband becomes a nearly fatal journey into the darkness he inhabited. Perhaps King's most personal and powerful novel, Lisey's Story is about the wellsprings of creativity, the temptations of madness, and the secret language of love.
(front flap)",Stephen King,3.7
The Mote in God's Eye,"In 3016, the 2nd Empire of Man spans hundreds of star systems, thanks to faster-than-light Alderson Drive. Intelligent beings are finally found from the Mote, an isolated star in a thick dust cloud. The bottled-up ancient civilization, at least one million years old, are welcoming, kind, yet evasive, with a dark problem they have not solved in over a million years.",Larry Niven,4.07
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,"Thousands of people have had near-death experiences, but scientists have argued that they are impossible. Dr. Eben Alexander was one of those scientists. A highly trained neurosurgeon, Alexander knew that NDEs feel real, but are simply fantasies produced by brains under extreme stress.

Then, Dr. Alexander’s own brain was attacked by a rare illness. The part of the brain that controls thought and emotion—and in essence makes us human—shut down completely. For seven days he lay in a coma. Then, as his doctors considered stopping treatment, Alexander’s eyes popped open. He had come back.

Alexander’s recovery is a medical miracle. But the real miracle of his story lies elsewhere. While his body lay in coma, Alexander journeyed beyond this world and encountered an angelic being who guided him into the deepest realms of super-physical existence. There he met, and spoke with, the Divine source of the universe itself.

Alexander’s story is not a fantasy. Before he underwent his journey, he could not reconcile his knowledge of neuroscience with any belief in heaven, God, or the soul. Today Alexander is a doctor who believes that true health can be achieved only when we realize that God and the soul are real and that death is not the end of personal existence but only a transition.

This story would be remarkable no matter who it happened to. That it happened to Dr. Alexander makes it revolutionary. No scientist or person of faith will be able to ignore it. Reading it will change your life.",Eben Alexander,3.72
Kindle Paperwhite User's Guide 2nd Edition,Kindle Paperwhite User's Guide,Amazon,3.79
Harry Potter and the Sorcerer’s Stone,"An alternative cover for this ASIN can be found here

""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.""

Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!",J.K. Rowling,4.47
Men at Arms,"""Be a MAN in the City Watch! The City Watch needs MEN!""

But what it's got includes Corporal Carrot (technically a dwarf), Lance-constable Cuddy (really a dwarf), Lance constable Detritus (a troll), Lance constable Angua (a woman... most of the time), and Corporal Nobbs (disqualified from the human race for shoving).

And they need all the help they can get. Because they've only got twenty-four hours to clean up the town and this is Ankh-Morpork we're talking about...",Terry Pratchett,4.4
A Widow for One Year,"“One night when she was four and sleeping in the bottom bunk of her bunk bed, Ruth Cole woke to the sound of lovemaking—it was coming from her parents’ bedroom.”

This sentence opens John Irving’s ninth novel, A Widow for One Year, a story of a family marked by tragedy. Ruth Cole is a complex, often self-contradictory character—a “difficult” woman. By no means is she conventionally “nice,” but she will never be forgotten.

Ruth’s story is told in three parts, each focusing on a critical time in her life. When we first meet her—on Long Island, in the summer of 1958—Ruth is only four.

The second window into Ruth’s life opens on the fall of 1990, when she is an unmarried woman whose personal life is not nearly as successful as her literary career. She distrusts her judgment in men, for good reason.

A Widow for One Year closes in the autumn of 1995, when Ruth Cole is a forty-one-year-old widow and mother. She’s about to fall in love for the first time.

Richly comic, as well as deeply disturbing, A Widow for One Year is a multilayered love story of astonishing emotional force. Both ribald and erotic, it is also a brilliant novel about the passage of time and the relentlessness of grief.
Source: john-irving.com",John Irving,3.77
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,"Avoiding shellfish was easy. The stoning of adulterers proved a little more difficult - and potentially controversial. Was it enough to walk up to an adulterer and gently touch them with a stone? Even that could be grounds for accusations of assault, especially with female adulterers in Manhattan. So what's a good Bible-reading boy to do?

Raised in a secular family but increasingly interested in the relevance of faith in our modern world, A.J. Jacobs decides to dive in headfirst and attempt to obey the hundreds of less-publicised rules. The resulting spiritual journey is at once funny and profound, reverent and irreverent, personal and universal, and will make you see history's most influential book with new eyes.",A.J. Jacobs,3.75
Out of the Silent Planet,"In the first novel of C.S. Lewis's classic science fiction trilogy, Dr Ransom, a Cambridge academic, is abducted and taken on a spaceship to the red planet of Malacandra, which he knows as Mars. His captors are plotting to plunder the planet's treasures and plan to offer Ransom as a sacrifice to the creatures who live there. Ransom discovers he has come from the 'silent planet' – Earth – whose tragic story is known throughout the universe...",C.S. Lewis,3.93
"Wicked: The Grimmerie, a Behind-the-Scenes Look at the Hit Broadway Musical by David Cote",,unknown author,0
As You Like It,"Readers and audiences have long greeted As You Like It with delight. Its characters are brilliant conversationalists, including the princesses Rosalind and Celia and their Fool, Touchstone. Soon after Rosalind and Orlando meet and fall in love, the princesses and Touchstone go into exile in the Forest of Arden, where they find new conversational partners. Duke Frederick, younger brother to Duke Senior, has overthrown his brother and forced him to live homeless in the forest with his courtiers, including the cynical Jaques. Orlando, whose older brother Oliver plotted his death, has fled there, too.

Recent scholars have also grounded the play in the issues of its time. These include primogeniture, passing property from a father to his oldest son. As You Like It depicts intense conflict between brothers, exposing the human suffering that primogeniture entails. Another perspective concerns cross-dressing. Most of Orlando’s courtship of Rosalind takes place while Rosalind is disguised as a man, “Ganymede.” At her urging, Orlando pretends that Ganymede is his beloved Rosalind. But as the epilogue reveals, the sixteenth-century actor playing Rosalind was male, following the practice of the time. In other words, a boy played a girl playing a boy pretending to be a girl.",William Shakespeare,3.81
If You Give a Pig a Pancake,"
  ""If you give a pig a pancake, she'll want some syrup to go with it...""
If you give a pig a pancake, she'll want some syrup to go with it. You'll give her some of your favorite maple syrup, and she'll probably get all sticky, so she'll want to take a bath. She'll ask you for some bubbles. When you give her the bubbles...
  Laura Numeroff
 and 
  Felicia Bond
 have done it again! In keeping with their best-sellers 
  'If You Give a Mouse a Cookie' (1985)
 and 'If You Give a Moose a Muffin' (1991), chaos is the order of the day when an accommodating little girl who tries to keep up with the whims of a busy little pig.Fans of 
  'If You Give a Mouse a Cookie' (1985)
 will love this joyful new addition! This book is a great introduction to the 'If You Give...' Series, and also a perennial favorite among children. With its spare, rhythmic text and circular tale, 
  'If You Give a Pig a Pancake' (1998)
 is perfect for beginning readers and story time. Sure to inspire giggles and requests to ""read it again!"" as well as entertain and delight readers for generations to come!Age: Preschool-2+",Laura Joffe Numeroff,4.26
God Emperor of Dune,"Book four in Frank Herbert's magnificent Dune Chronicles--one of the most significant sagas in the history of literary science fiction.

Millennia have passed on Arrakis, and the once-desert planet is green with life. Leto Atreides, the son of the world's savior, the Emperor Paul Muad'Dib, is still alive but far from human. To preserve humanity's future, he sacrificed his own by merging with a sandworm, granting him near immortality as God Emperor of Dune for the past thirty-five hundred years.

Leto's rule is not a benevolent one. His transformation has made not only his appearance but his morality inhuman. A rebellion, led by Siona, a member of the Atreides family, has risen to oppose the despot's rule. But Siona is unaware that Leto's vision of a Golden Path for humanity requires her to fulfill a destiny she never wanted--or could possibly conceive....

Includes an introduction by Brian Herbert",Frank Herbert,3.88
Preacher Vol. 1: Gone to Texas by Garth Ennis,Preacher Volume 1 graphic novel,Garth Ennis,5
Cyrano de Bergerac,"This is Edmond Rostand's immortal play in which chivalry and wit, bravery and love are forever captured in the timeless spirit of romance. Set in Louis XIII's reign, it is the moving and exciting drama of one of the finest swordsmen in France, gallant soldier, brilliant wit, tragic poet-lover with the face of a clown. Rostand's extraordinary lyric powers gave birth to a universal hero--Cyrano De Bergerac--and ensured his own reputation as author of one of the best-loved plays in the literature of the stage.

This translation, by the American poet Brian Hooker, is nearly as famous as the original play itself, and is generally considered to be one of the finest English verse translations ever written.",Edmond Rostand,4.06
The Valley of Horses,"Librarian note: See an alternate cover edition here.

This unforgettable odyssey into the distant past carries us back to the awesome mysteries of the exotic, primeval world of The Clan of the Cave Bear, and to Ayla, now grown into a beautiful and courageous young woman.

Cruelly cast out by the new leader of the ancient Clan that adopted her as a child, Ayla leaves those she loves behind and travels alone through a stark, open land filled with dangerous animals but few people, searching for the Others, tall and fair like herself. The short summer gives her little time to look, and when she finds a sheltered valley with a herd of hardy steppe horses, she decides to stay and prepare for the long glacial winter ahead. Living with the Clan has taught Ayla many skills but not real hunting. She finally knows she can survive when she traps a horse, which gives her meat and a warm pelt for the winter, but fate has bestowed a greater gift, an orphaned foal with whom she develops a unique kinship. One winter extends to more; she discovers a way to make fire more quickly and a wounded cave lion cub joins her unusual family, but her beloved animals don't fulfill her restless need for human companionship. Then she hears the sound of a man screaming in pain. She saves tall, handsome Jondalar, who brings her a language to speak and an awakening of love and desire, but Ayla is torn between her fear of leaving her valley and her hope of living with her own kind.",Jean M. Auel,4.02
"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures","Lia Lee was born in 1982 to a family of recent Hmong immigrants, and soon developed symptoms of epilepsy. By 1988 she was living at home but was brain dead after a tragic cycle of misunderstanding, over-medication, and culture clash: ""What the doctors viewed as clinical efficiency the Hmong viewed as frosty arrogance."" The Spirit Catches You and You Fall Down is a tragedy of Shakespearean dimensions, written with the deepest of human feeling. Sherwin Nuland said of the account, ""There are no villains in Fadiman's tale, just as there are no heroes. People are presented as she saw them, in their humility and their frailty—and their nobility.",Anne Fadiman,4.19
The Wasp Factory,"Frank, no ordinary sixteen-year-old, lives with his father outside a remote Scottish village. Their life is, to say the least, unconventional. Frank's mother abandoned them years ago: his elder brother Eric is confined to a psychiatric hospital; and his father measures out his eccentricities on an imperial scale. Frank has turned to strange acts of violence to vent his frustrations. In the bizarre daily rituals there is some solace. But when news comes of Eric's escape from the hospital Frank has to prepare the ground for his brother's inevitable return - an event that explodes the mysteries of the past and changes Frank utterly.

The Wasp Factory is a work of horrifying compulsion: horrifying, because it enters a mind whose realities are not our own, whose values of life and death are alien to our society; compulsive, because the humour and compassion of that mind reach out to us all. A novel of extraordinary originality, imagination and comic ferocity.",Iain Banks,3.78
Bone Crossed,"By day, Mercy is a car mechanic in the sprawling Tri-Cities of Eastern Washington. By night, she explores her preternatural side. As a shapeshifter with some unique talents, Mercy has often found herself having to maintain a tenuous harmony between the human and the not so human. This time she may get more than she bargained for.

Marsilia, the local Vampire Queen, has learned that Mercy crossed her by slaying a member of her clan—and she's out for blood. But since Mercy is protected from direct reprisal by the werewolf pack (and her close relationship with its sexy Alpha), it won't be Mercy's blood Marsilia is after.

It'll be her friends'.",Patricia Briggs,4.34
Six Years,"Six years have passed since Jake Fisher watched Natalie, the love of his life, marry another man. Six years of hiding a broken heart by throwing himself into his career as a college professor. Six years of keeping his promise to leave Natalie alone, and six years of tortured dreams of her life with her new husband, Todd.

But six years haven’t come close to extinguishing his feelings, and when Jake comes across Todd’s obituary, he can’t keep himself away from the funeral. There he gets the glimpse of Todd’s wife he’s hoping for…but she is not Natalie. Whoever the mourning widow is, she’s been married to Todd for almost two decades, and with that fact everything Jake thought he knew about the best time of his life—a time he has never gotten over—is turned completely inside out.

As Jake searches for the truth, his picture-perfect memories of Natalie begin to unravel. Mutual friends of the couple either can’t be found, or don’t remember Jake. No one has seen Natalie in years. Jake’s search for the woman who broke his heart, who lied to him, soon puts his very life at risk as it dawns on him that the man he has become may be based on a carefully constructed fiction.",Harlan Coben,3.84
Night Film,"On a damp October night, 24-year-old Ashley Cordova is found dead in an abandoned warehouse in lower Manhattan. Though her death is ruled a suicide, veteran investigative journalist Scott McGrath suspects otherwise. As he probes the strange circumstances surrounding Ashley's life and death, McGrath comes face-to-face with the legacy of her father: the legendary, reclusive cult-horror film director Stanislaus Cordova--a man who hasn't been seen in public for more than thirty years.

For McGrath, another death connected to this seemingly cursed family dynasty seems more than just a coincidence. Though much has been written about Cordova's dark and unsettling films, very little is known about the man himself.

Driven by revenge, curiosity, and a need for the truth, McGrath, with the aid of two strangers, is drawn deeper and deeper into Cordova's eerie, hypnotic world. The last time he got close to exposing the director, McGrath lost his marriage and his career. This time he might lose even more.",Marisha Pessl,3.78
The Indigo Spell,"In the aftermath of a forbidden moment that rocked Sydney to her core, she finds herself struggling to draw the line between her Alchemist teachings and what her heart is urging her to do. Then she meets alluring, rebellious Marcus Finch--a former Alchemist who escaped against all odds, and is now on the run. Marcus wants to teach Sydney the secrets he claims the Alchemists are hiding from her. But as he pushes her to rebel against the people who raised her, Sydney finds that breaking free is harder than she thought. There is an old and mysterious magic rooted deeply within her. And as she searches for an evil magic user targeting powerful young witches, she realizes that her only hope is to embrace her magical blood--or else she might be next.",Richelle Mead,4.36
Ramona the Pest,Ramona doesn't think she's a pest - she knows that she isn't a pest on purpose. So how in the world does Ramona get in trouble? Why does her crush Davy run away whenever Ramona comes near him? And how does she manage to disrupt the whole kindergarten class during their rest time?,Beverly Cleary,4.08
Crazy Rich Asians,"Crazy Rich Asians is the outrageously funny debut novel about three super-rich, pedigreed Chinese families and the gossip, backbiting, and scheming that occurs when the heir to one of the most massive fortunes in Asia brings home his ABC (American-born Chinese) girlfriend to the wedding of the season.

When Rachel Chu agrees to spend the summer in Singapore with her boyfriend, Nicholas Young, she envisions a humble family home, long drives to explore the island, and quality time with the man she might one day marry. What she doesn't know is that Nick's family home happens to look like a palace, that she'll ride in more private planes than cars, and that with one of Asia's most eligible bachelors on her arm, Rachel might as well have a target on her back.

Initiated into a world of dynastic splendor beyond imagination, Rachel meets Astrid, the It Girl of Singapore society; Eddie, whose family practically lives in the pages of the Hong Kong socialite magazines; and Eleanor, Nick's formidable mother, a woman who has very strong feelings about who her son should—and should not—marry.

Uproarious, addictive, and filled with jaw-dropping opulence, Crazy Rich Asians is an insider's look at the Asian JetSet; a perfect depiction of the clash between old money and new money; between Overseas Chinese and Mainland Chinese; and a fabulous novel about what it means to be young, in love, and gloriously, crazily rich.",Kevin Kwan,3.9
"Night World, No. 2","Includes:
Book 4 - Dark Angel
Book 5 - The Chosen
Book 6 - Soulmate

Vampires, werewolves, witches, shapeshifters -- they live among us without our knowledge. Night World is their secret society, a secret society with very strict rules. And falling in love breaks all the laws of the Night World.

In Dark Angel, Gillian is saved from drowning by her guardian angel. Only visible to Gillian, Angel will fulfill her heart's every desire. But when Angel starts making strange and sinister requests, Gillian must question who he truly is and where he came from.

Armed with a wooden stake, martial arts, and the will to resist a vampire's mind control, Rashel struggles to avenge her mother's death in The Chosen. Then she meets Quinn, her soulmate, who is part of the world she has vowed to destroy.

Hannah receives notes warning her of incredible danger in Soulmate. But if death is her destiny, is the Lord of the Night World's love strong enough to save her?",L.J. Smith,4.2
Dreamfever,"MacKayla Lane lies naked on the cold stone floor of a church, at the mercy of the erotic Fae master she once swore to kill. Far from home, unable to control her sexual hungers, MacKayla is now fully under the Lord Master’s spell.…In New York Times bestselling author Karen Marie Moning’s stunning new novel, the walls between human and Fae worlds have come crashing down. And as Mac fights for survival on Dublin’s battle-scarred streets, she will embark on the darkest—and most erotically charged—adventure of her life.

He has stolen her past, but MacKayla will never allow her sister’s murderer to take her future. Yet even the uniquely gifted sidhe-seer is no match for the Lord Master, who has unleashed an insatiable sexual craving that consumes Mac’s every thought—and thrusts her into the seductive realm of two very dangerous men, both of whom she desires but dares not trust.

As the enigmatic Jericho Barrons and the sensual Fae prince V’lane vie for her body and soul, as cryptic entries from her sister’s diary mysteriously appear and the power of the Dark Book weaves its annihilating path through the city, Mac’s greatest enemy delivers a final challenge.…

It’s an invitation Mac cannot refuse, one that sends her racing home to Georgia, where an even darker threat awaits. With her parents missing and the lives of her loved ones under siege, Mac is about to come face-to-face with a soul-shattering truth—about herself and her sister, about Jericho Barrons…and about the world she thought she knew.",Karen Marie Moning,4.38
Rebel Angels,"Ah, Christmas! Gemma Doyle is looking forward to a holiday from Spence Academy, spending time with her friends in the city, attending ritzy balls, and on a somber note, tending to her ailing father. As she prepares to ring in the New Year, 1896, a handsome young man, Lord Denby, has set his sights on Gemma, or so it seems. Yet amidst the distractions of London, Gemma’s visions intensify–visions of three girls dressed in white, to whom something horrific has happened, something only the realms can explain...

The lure is strong, and before long, Gemma, Felicity, and Ann are turning flowers into butterflies in the enchanted world of the realms that Gemma alone can bring them to. To the girls’ great joy, their beloved Pippa is there as well, eager to complete their circle of friendship.

But all is not well in the realms–or out. The mysterious Kartik has reappeared, telling Gemma she must find the Temple and bind the magic, else great disaster will befall her. Gemma’s willing to do his intrusive bidding, despite the dangers it brings, for it means she will meet up with her mother’s greatest friend–and now her foe, Circe. Until Circe is destroyed, Gemma cannot live out her destiny. But finding Circe proves a most perilous task.",Libba Bray,3.94
Geek Love,"Geek Love is the story of the Binewskis, a carny family whose mater- and paterfamilias set out ― with the help of amphetamine, arsenic, and radioisotopes ― to breed their own exhibit of human oddities. There's Arturo the Aquaboy, who has flippers for limbs and a megalomaniac ambition worthy of Genghis Khan . . . Iphy and Elly, the lissome Siamese twins . . . albino hunchback Oly, and the outwardly normal Chick, whose mysterious gifts make him the family's most precious ― and dangerous ― asset.

As the Binewskis take their act across the backwaters of the U.S., inspiring fanatical devotion and murderous revulsion; as its members conduct their own Machiavellian version of sibling rivalry, Geek Love throws its sulfurous light on our notions of the freakish and the normal, the beautiful and the ugly, the holy and the obscene. Family values will never be the same.",Katherine Dunn,3.96
Case Histories,"In #1 of series, Jackson Brodie PI follows three 30-years cold, unconnected Cambridge family cases:  1 A little girl disappears in the night.  2 A beautiful young office worker falls to a maniac's attack. 3 A new mother is overwhelmed by demands from her baby and husband - until a fit of rage creates a grisly, bloody escape.Result : Startling connections and discoveries emerge. . . .",Kate Atkinson,3.81
Release Me,"For fans of Fifty Shades of Grey and Bared to You comes an erotic, emotionally charged romance between a powerful man who’s never heard “no” and a fiery woman who says “yes” on her own terms.

He was the one man I couldn’t avoid. And the one man I couldn’t resist.

Damien Stark could have his way with any woman. He was sexy, confident, and commanding: Anything he wanted, he got. And what he wanted was me.

Our attraction was unmistakable, almost beyond control, but as much as I ached to be his, I feared the pressures of his demands. Submitting to Damien meant I had to bare the darkest truth about my past—and risk breaking us apart.

But Damien was haunted, too. And as our passion came to obsess us both, his secrets threatened to destroy him—and us—forever.

Release Me is an erotic romance intended for mature audiences.",J. Kenner,4.11
Bloodfever,"I used to think my sister and I were just two nice southern girls who’d get married in a few years and settle down to a quiet life. Then I discovered that Alina and I descend, not from good wholesome southern stock, but from an ancient Celtic bloodline of powerful sidhe-seers, people who can see the Fae. Not only can I see the terrifying otherworldly race, but I can sense the sacred Fae relics that hold the deadliest of their magic.

When my sister was found dead in a trash-filled alley in Dublin, I came over to get answers. Now all I want is revenge. And after everything I’ve learned about myself, I know I have the power to get it….

MacKayla Lane’s ordinary life underwent a complete makeover when she landed on Ireland’s shores and was plunged into a world of deadly sorcery and ancient secrets.

In her fight to stay alive, Mac must find the Sinsar Dubh–a million-year-old book of the blackest magic imaginable, which holds the key to power over both the worlds of the Fae and of Man. Pursued by Fae assassins, surrounded by mysterious figures she knows she cannot trust, Mac finds herself torn between two deadly and irresistible men: V’lane, the insatiable Fae who can turn sensual arousal into an obsession for any woman, and the ever-inscrutable Jericho Barrons, a man as alluring as he is mysterious.

For centuries the shadowy realm of the Fae has coexisted with that of humans. Now the walls between the two are coming down, and Mac is the only thing that stands between them.…",Karen Marie Moning,4.25
Wedding Night,"Lottie just knows that her boyfriend is going to propose, but then his big question involves a trip abroad — not a trip down the aisle. Completely crushed, Lottie reconnects with an old flame, and they decide to take drastic action. No dates, no moving in together, they’ll just get married . . . right now. Her sister, Fliss, thinks Lottie is making a terrible mistake, and will do anything to stop her. But Lottie is determined to say “I do,” for better, or for worse.",Sophie Kinsella,3.46
Girls in Pants: The Third Summer of the Sisterhood,"The third novel in the wildly popular #1  New York Times  bestselling Sisterhood of the Traveling Pants series, from the author of  The Whole Thing Together  and  The Here and Now.

It’s the summer before the sisterhood departs for college . . . their last real summer together before they head off to start their grown-up lives. It’s the time when Lena, Tibby, Bridget, and Carmen need their Pants the most.

Pants = love. Love your pals. Love yourself.


“A fun and poignant coming-of-age story."" — Entertainment Weekly

 “Readers of the other books won’t be disappointed.” — Booklist,  Starred

“A treat for anyone.” — Los Angeles Times

“These are friends worth having.” — Chicago Tribune",Ann Brashares,3.84
Faefever,"The New York Times bestselling author of Darkfever and Bloodfever returns to Dublin’s Fae-infested shores in a bold, sensual new novel. Hurtling us into a realm of seduction and shadows, Karen Marie Moning tells the enthralling tale of a woman who explores the limits of her mysterious powers as she enters a world of ancient sorcery—and confronts an enemy more insidious than she could ever have imagined.
  
  
He calls me his Queen of the Night. I’d die for him. I’d kill for him, too. When MacKayla Lane receives a torn page from her dead sister’s journal, she is stunned by Alina’s desperate words. And now MacKayla knows that her sister’s killer is close. But evil is closer. And suddenly the sidhe-seer is on the hunt: For answers. For revenge. And for an ancient book of dark magic so evil, it corrupts anyone who touches it.Mac’s quest for the Sinsar Dubh takes her into the mean, shape-shifting streets of Dublin, with a suspicious cop on her tail. Forced into a dangerous triangle of alliance with V’lane, an insatiable Fae prince of lethally erotic tastes, and Jericho Barrons, a man of primal desires and untold secrets, Mac is soon locked in a battle for her body, mind, and soul. As All Hallows’ Eve approaches and the city descends into chaos, as a shocking truth about the Dark Book is uncovered, not even Mac can prevent a deadly race of immortals from shattering the walls between worlds—with devastating consequences.…",Karen Marie Moning,4.29
"The Sandman, Vol. 2: The Doll's House","A being who has existed since the beginning of the universe, Dream of the Endless rules over the realm of dreams. In The Doll's House, after a decades-long imprisonment, the Sandman has returned to find that a few dreams and nightmares have escaped to reality. Looking to recapture his lost possessions, Morpheus ventures to the human plane only to learn that a woman named Rose Walker has inadvertently become a dream vortex and threatens to rip apart his world. Now as Morpheus takes on the last escaped nightmare at a serial killers convention, the Lord of Dreams must mercilessly murder Rose or risk the destruction of his entire kingdom.

Collecting issues #9-16, this new edition of The Doll's House features the improved production values and coloring from the Absolute Edition.

",Neil Gaiman,4.43
My Sister's Grave,"Tracy Crosswhite has spent twenty years questioning the facts surrounding her sister Sarah’s disappearance and the murder trial that followed. She doesn’t believe that Edmund House — a convicted rapist and the man condemned for Sarah’s murder — is the guilty party. Motivated by the opportunity to obtain real justice, Tracy became a homicide detective with the Seattle PD and dedicated her life to tracking down killers.

When Sarah’s remains are finally discovered near their hometown in the northern Cascade mountains of Washington State, Tracy is determined to get the answers she’s been seeking. As she searches for the real killer, she unearths dark, long-kept secrets that will forever change her relationship to her past — and open the door to deadly danger.",Robert Dugoni,4.09
Pollyanna,"Pollyanna's eternal optimism has made her one of the most beloved characters in American literature. First published in 1913, her story spawned the formation of ""Glad"" clubs all over the country, devoted to playing Pollyanna's famous game. Pollyanna has since sold over one million copies, been translated into several languages, and has become both a Broadway play and a Disney motion picture.",Eleanor H. Porter,4.01
Library of Souls,"boy with extraordinary powers.
An army of deadly monsters.
An epic battle for the future of peculiardom.

The adventure that began with ""Miss Peregrine’s Home for Peculiar Children"" and continued in ""Hollow City"" comes to a thrilling conclusion with ""Library of Souls.""

As the story opens, sixteen-year-old Jacob discovers a powerful new ability, and soon he’s diving through history to rescue his peculiar companions from a heavily guarded fortress. Accompanying Jacob on his journey are Emma Bloom, a girl with fire at her fingertips, and Addison MacHenry, a dog with a nose for sniffing out lost children.

They’ll travel from modern-day London to the labyrinthine alleys of Devil’s Acre, the most wretched slum in all of Victorian England. It’s a place where the fate of peculiar children everywhere will be decided once and for all.",Ransom Riggs,4.14
New Spring,"The prequel novel to the globally bestselling Wheel of Time series - a fantasy phenomenon

The city of Canluum lies close to the scarred and desolate wastes of the Blight, a walled haven from the dangers away to the north, and a refuge from the ill works of those who serve the Dark One. Or so it is said. The city that greets Al'Lan Mandragoran, exiled king of Malkier and the finest swordsman of his generation, is instead one that is rife with rumour and the whisperings of Shadowspawn. Proof, should he have required it, that the Dark One grows powerful once more and that his minions are at work throughout the lands.

And yet it is within Canluum's walls that Lan will meet a woman who will shape his destiny. Moiraine is a young and powerful Aes Sedai who has journeyed to the city in search of a bondsman. She requires aid in a desperate quest to prove the truth of a vague and largely discredited prophecy - one that speaks of a means to turn back the shadow, and of a child who may be the dragon reborn.",Robert Jordan,4.06
